                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.81666,                 0.8177,                 1.1339,                0.96134,                      1,                  0.995,                0.92707,                0.67889,                 1.2098,                 1.1787,              0.0011224,              0.0011224,              0.0011224
                     35,                0.91524,                 1.3074,                 1.5089,                0.98729,                      1,                  0.995,                0.87732,                0.63665,                 1.2537,                 1.1317,              0.0011059,              0.0011059,              0.0011059
                     36,                0.80349,                 1.8291,                  1.291,                0.98729,                      1,                  0.995,                0.87732,                0.63665,                 1.2537,                 1.1317,              0.0010894,              0.0010894,              0.0010894
                     37,                0.74193,                0.91964,                 1.1262,                0.98365,                0.99942,                  0.995,                0.84605,                 0.6727,                 1.5248,                 1.1874,              0.0010729,              0.0010729,              0.0010729
                     38,                0.51609,                0.81558,                  1.024,                0.91795,                0.98094,                  0.995,                 0.7717,                0.90465,                 1.5915,                 1.3924,              0.0010564,              0.0010564,              0.0010564
                     39,                0.86098,                0.90738,                 1.4765,                      1,                0.95748,                  0.995,                0.80126,                0.80598,                 1.4742,                 1.2943,              0.0010399,              0.0010399,              0.0010399
                     40,                0.58722,                0.77911,                  1.016,                      1,                0.95748,                  0.995,                0.80126,                0.80598,                 1.4742,                 1.2943,              0.0010234,              0.0010234,              0.0010234
                     41,                 0.5214,                0.80805,                 1.0832,                 0.9673,                0.97932,                  0.995,                0.86152,                0.57643,                  1.193,                 1.1145,              0.0010069,              0.0010069,              0.0010069
                     42,                0.73706,                0.93262,                 1.1218,                0.97675,                      1,                  0.995,                0.89166,                0.52023,                 1.1318,                 1.0433,             0.00099036,             0.00099036,             0.00099036
                     43,                0.70892,                0.98872,                 1.1694,                0.81664,                0.97062,                  0.995,                0.91215,                0.47689,                  1.198,                 1.0375,             0.00097386,             0.00097386,             0.00097386
                     44,                0.71282,                0.80827,                 1.1167,                0.81664,                0.97062,                  0.995,                0.91215,                0.47689,                  1.198,                 1.0375,             0.00095736,             0.00095736,             0.00095736
                     45,                0.73302,                0.77675,                   1.09,                0.80342,                0.81538,                  0.995,                 0.8833,                0.52844,                 1.4066,                  1.084,             0.00094085,             0.00094085,             0.00094085
                     46,                0.68462,                0.79945,                 1.0788,                 0.8714,                0.98922,                  0.995,                0.90547,                0.52486,                 1.0721,                 1.0348,             0.00092435,             0.00092435,             0.00092435
                     47,                0.81884,                0.74515,                 1.1895,                0.97927,                      1,                  0.995,                0.86824,                0.56911,                0.94007,                 1.0911,             0.00090785,             0.00090785,             0.00090785
                     48,                0.71591,                0.91455,                 1.1785,                0.97927,                      1,                  0.995,                0.86824,                0.56911,                0.94007,                 1.0911,             0.00089134,             0.00089134,             0.00089134
                     49,                0.78629,                0.76215,                 1.2309,                0.98375,                      1,                  0.995,                0.83777,                0.68512,                0.96322,                 1.2485,             0.00087484,             0.00087484,             0.00087484
                     50,                0.60272,                 0.7623,                 1.0552,                0.97462,                      1,                  0.995,                0.82299,                0.70446,                0.94533,                 1.3126,             0.00085834,             0.00085834,             0.00085834
                     51,                0.63014,                 1.6928,                 1.0438,                0.98945,                      1,                  0.995,                0.77544,                 0.7386,                0.93975,                 1.3625,             0.00084184,             0.00084184,             0.00084184
                     52,                0.62281,                0.85331,                 1.1167,                0.98945,                      1,                  0.995,                0.77544,                 0.7386,                0.93975,                 1.3625,             0.00082533,             0.00082533,             0.00082533
                     53,                0.83273,                 1.0288,                 1.3822,                0.96667,                      1,                  0.995,                0.82932,                0.66395,                0.96172,                 1.2702,             0.00080883,             0.00080883,             0.00080883
                     54,                0.87866,                0.83434,                 1.2763,                0.92323,                      1,                  0.995,                0.81741,                0.64623,                0.99181,                 1.2449,             0.00079233,             0.00079233,             0.00079233
                     55,                0.61433,                0.80102,                 1.0664,                0.91931,                0.99069,                  0.995,                0.83192,                0.57133,                0.97362,                 1.1051,             0.00077582,             0.00077582,             0.00077582
                     56,                0.76405,                 1.0481,                  1.211,                0.91931,                0.99069,                  0.995,                0.83192,                0.57133,                0.97362,                 1.1051,             0.00075932,             0.00075932,             0.00075932
